"","last3letters","n_waves","which_waves","var_names","n_unique_labels","unique_labels","value_labels"
"232","194","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a194, cf09b194, cf10c194, cf11d194, cf12e194, cf13f194, cf14g194, cf15h194, cf16i194, cf17j194, cf18k194, cf19l194","1","Did your eldest living-at-home child help with the following household tasks, over the past week? - laundry, ironing","c(yes = 1, no = 2)"
"233","195","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a195, cf09b195, cf10c195, cf11d195, cf12e195, cf13f195, cf14g195, cf15h195, cf16i195, cf17j195, cf18k195, cf19l195","1","Did your eldest living-at-home child help with the following household tasks, over the past week? - house cleaning","c(yes = 1, no = 2)"
"234","196","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a196, cf09b196, cf10c196, cf11d196, cf12e196, cf13f196, cf14g196, cf15h196, cf16i196, cf17j196, cf18k196, cf19l196","1","Did your eldest living-at-home child help with the following household tasks, over the past week? - odd jobs in and around the house","c(yes = 1, no = 2)"
"235","197","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a197, cf09b197, cf10c197, cf11d197, cf12e197, cf13f197, cf14g197, cf15h197, cf16i197, cf17j197, cf18k197, cf19l197","1","Did your eldest living-at-home child help with the following household tasks, over the past week? - grocery shopping","c(yes = 1, no = 2)"
"236","198","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a198, cf09b198, cf10c198, cf11d198, cf12e198, cf13f198, cf14g198, cf15h198, cf16i198, cf17j198, cf18k198, cf19l198","1","How have you and your partner arranged the work of raising and caring for the children? - storyreading, playing games, other forms of play","c(`I do a lot more than my partner` = 1, `I do more than my partner` = 2, `we do roughly the same amount of work` = 3, `my partner does more than I` = 4, `my partner does a lot more than I` = 5)"
"237","199","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a199, cf09b199, cf10c199, cf11d199, cf12e199, cf13f199, cf14g199, cf15h199, cf16i199, cf17j199, cf18k199, cf19l199","1","How have you and your partner arranged the work of raising and caring for the children? - bringing to/fetching from daycare or school, attending sports activities, clubs, etc.","c(`I do a lot more than my partner` = 1, `I do more than my partner` = 2, `we do roughly the same amount of work` = 3, `my partner does more than I` = 4, `my partner does a lot more than I` = 5)"
"238","200","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a200, cf09b200, cf10c200, cf11d200, cf12e200, cf13f200, cf14g200, cf15h200, cf16i200, cf17j200, cf18k200, cf19l200","2","How have you and your partner arranged the work of raising and caring for the children? - talking about problems in school or about manners // How have you and your partner arranged the work of raising and caring for the children? - talking about problems in school","c(`I do a lot more than my partner` = 1, `I do more than my partner` = 2, `we do roughly the same amount of work` = 3, `my partner does more than I` = 4, `my partner does a lot more than I` = 5)"
"239","201","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a201, cf09b201, cf10c201, cf11d201, cf12e201, cf13f201, cf14g201, cf15h201, cf16i201, cf17j201, cf18k201, cf19l201","1","How have you and your partner arranged the work of raising and caring for the children? - small outings, as to the cinema, zoo, etc.","c(`I do a lot more than my partner` = 1, `I do more than my partner` = 2, `we do roughly the same amount of work` = 3, `my partner does more than I` = 4, `my partner does a lot more than I` = 5)"
"240","202","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a202, cf09b202, cf10c202, cf11d202, cf12e202, cf13f202, cf14g202, cf15h202, cf16i202, cf17j202, cf18k202, cf19l202","1","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? - changing diapers","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I do this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"241","203","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a203, cf09b203, cf10c203, cf11d203, cf12e203, cf13f203, cf14g203, cf15h203, cf16i203, cf17j203, cf18k203, cf19l203","1","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? - getting up from bed during the night","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I do this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"242","204","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a204, cf09b204, cf10c204, cf11d204, cf12e204, cf13f204, cf14g204, cf15h204, cf16i204, cf17j204, cf18k204, cf19l204","1","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? - washing the child","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I do this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"243","205","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a205, cf09b205, cf10c205, cf11d205, cf12e205, cf13f205, cf14g205, cf15h205, cf16i205, cf17j205, cf18k205, cf19l205","1","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? - taking the child to the doctor when unwell","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I do this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"244","206","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a206, cf09b206, cf10c206, cf11d206, cf12e206, cf13f206, cf14g206, cf15h206, cf16i206, cf17j206, cf18k206, cf19l206","1","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? - staying at home with the child when unwell","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I do this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"245","207","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a207, cf09b207, cf10c207, cf11d207, cf12e207, cf13f207, cf14g207, cf15h207, cf16i207, cf17j207, cf18k207, cf19l207","1","In the period that your children were younger than 12 years old, did you and your current partner mostly care for the children together?","c(yes = 1, `no, I had another partner at the time` = 2, `no, I didn't have a partner at the time` = 3, `no, I didn't care for the children at the time` = 4)"
"246","208","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a208, cf09b208, cf10c208, cf11d208, cf12e208, cf13f208, cf14g208, cf15h208, cf16i208, cf17j208, cf18k208, cf19l208","1","How did you and your partner arrange the work of raising and caring for the children? - storyreading, playing games, other forms of play","c(`I did a lot more than my partner` = 1, `I did more than my partner` = 2, `we did roughly the same amount of work` = 3, `my partner did more than I` = 4, `my partner did a lot more than I` = 5)"
"247","209","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a209, cf09b209, cf10c209, cf11d209, cf12e209, cf13f209, cf14g209, cf15h209, cf16i209, cf17j209, cf18k209, cf19l209","1","How did you and your partner arrange the work of raising and caring for the children? - bringing to/fetching from daycare or school, attending sports activities, clubs, etc.","c(`I did a lot more than my partner` = 1, `I did more than my partner` = 2, `we did roughly the same amount of work` = 3, `my partner did more than I` = 4, `my partner did a lot more than I` = 5)"
"248","210","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a210, cf09b210, cf10c210, cf11d210, cf12e210, cf13f210, cf14g210, cf15h210, cf16i210, cf17j210, cf18k210, cf19l210","1","How did you and your partner arrange the work of raising and caring for the children? - talking about problems in school or about manners","c(`I did a lot more than my partner` = 1, `I did more than my partner` = 2, `we did roughly the same amount of work` = 3, `my partner did more than I` = 4, `my partner did a lot more than I` = 5)"
"249","211","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a211, cf09b211, cf10c211, cf11d211, cf12e211, cf13f211, cf14g211, cf15h211, cf16i211, cf17j211, cf18k211, cf19l211","1","How did you and your partner arrange the work of raising and caring for the children? - small outings, as to the cinema, zoo, etc.","c(`I did a lot more than my partner` = 1, `I did more than my partner` = 2, `we did roughly the same amount of work` = 3, `my partner did more than I` = 4, `my partner did a lot more than I` = 5)"
"250","212","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a212, cf09b212, cf10c212, cf11d212, cf12e212, cf13f212, cf14g212, cf15h212, cf16i212, cf17j212, cf18k212, cf19l212","1","In the period that your children were younger than 4 years old, did you and your current partner mostly care for the children together?","c(yes = 1, `no, I had another partner at the time` = 2, `no, I didn't have a partner at the time` = 3, `no, I didn't care for the children at the time` = 4)"
"251","213","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a213, cf09b213, cf10c213, cf11d213, cf12e213, cf13f213, cf14g213, cf15h213, cf16i213, cf17j213, cf18k213, cf19l213","2","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? This concerns the period in which the children were younger than 4 years old. - changing diapers // Below we list a number of care-related tasks. Can you indicate which of you performed these, you or your partner? This concerns the period in which the children were younger than 4 years old. - changing diapers","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I did this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"252","214","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a214, cf09b214, cf10c214, cf11d214, cf12e214, cf13f214, cf14g214, cf15h214, cf16i214, cf17j214, cf18k214, cf19l214","2","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? This concerns the period in which the children were younger than 4 years old. - getting up from bed during the night // Below we list a number of care-related tasks. Can you indicate which of you performed these, you or your partner? This concerns the period in which the children were younger than 4 years old. - getting up from bed during the night","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I did this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"253","215","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a215, cf09b215, cf10c215, cf11d215, cf12e215, cf13f215, cf14g215, cf15h215, cf16i215, cf17j215, cf18k215, cf19l215","2","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? This concerns the period in which the children were younger than 4 years old. - washing the child // Below we list a number of care-related tasks. Can you indicate which of you performed these, you or your partner? This concerns the period in which the children were younger than 4 years old. - washing the child","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I did this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"254","216","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a216, cf09b216, cf10c216, cf11d216, cf12e216, cf13f216, cf14g216, cf15h216, cf16i216, cf17j216, cf18k216, cf19l216","2","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? This concerns the period in which the children were younger than 4 years old. - taking the child to the doctor when unwell // Below we list a number of care-related tasks. Can you indicate which of you performed these, you or your partner? This concerns the period in which the children were younger than 4 years old. - taking the child to the doctor when unwell","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I did this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"255","217","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a217, cf09b217, cf10c217, cf11d217, cf12e217, cf13f217, cf14g217, cf15h217, cf16i217, cf17j217, cf18k217, cf19l217","2","Below we list a number of care-related tasks. Can you indicate which of you performs these, you or your partner? This concerns the period in which the children were younger than 4 years old. - staying at home with the child when unwell // Below we list a number of care-related tasks. Can you indicate which of you performed these, you or your partner? This concerns the period in which the children were younger than 4 years old. - staying at home with the child when unwell","c(`1 only me` = 1, `2` = 2, `3` = 3, `4 my partner and I did this equally often` = 4, `5` = 5, `6` = 6, `7 only my partner` = 7, `not applicable` = 8)"
"256","218","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a218, cf09b218, cf10c218, cf11d218, cf12e218, cf13f218, cf14g218, cf15h218, cf16i218, cf17j218, cf18k218, cf19l218","1","How much do you know about: who your child's friends are","c(nothing = 1, little = 2, `a lot` = 3, everything = 4, `not applicable` = 5)"
"257","219","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a219, cf09b219, cf10c219, cf11d219, cf12e219, cf13f219, cf14g219, cf15h219, cf16i219, cf17j219, cf18k219, cf19l219","1","How much do you know about: who the parents of your child's friends are","c(nothing = 1, little = 2, `a lot` = 3, everything = 4, `not applicable` = 5)"
"258","220","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a220, cf09b220, cf10c220, cf11d220, cf12e220, cf13f220, cf14g220, cf15h220, cf16i220, cf17j220, cf18k220, cf19l220","1","How much do you know about: what your child spends his/her money on","c(nothing = 1, little = 2, `a lot` = 3, everything = 4, `not applicable` = 5)"
"259","221","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a221, cf09b221, cf10c221, cf11d221, cf12e221, cf13f221, cf14g221, cf15h221, cf16i221, cf17j221, cf18k221, cf19l221","1","How much do you know about: where your child is after school hours","c(nothing = 1, little = 2, `a lot` = 3, everything = 4, `not applicable` = 5)"
"260","222","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a222, cf09b222, cf10c222, cf11d222, cf12e222, cf13f222, cf14g222, cf15h222, cf16i222, cf17j222, cf18k222, cf19l222","1","How much do you know about: where your child goes when he/she goes out","c(nothing = 1, little = 2, `a lot` = 3, everything = 4, `not applicable` = 5)"
"261","223","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a223, cf09b223, cf10c223, cf11d223, cf12e223, cf13f223, cf14g223, cf15h223, cf16i223, cf17j223, cf18k223, cf19l223","1","How much do you know about: what your child does in his/her leisure time","c(nothing = 1, little = 2, `a lot` = 3, everything = 4, `not applicable` = 5)"
"262","224","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a224, cf09b224, cf10c224, cf11d224, cf12e224, cf13f224, cf14g224, cf15h224, cf16i224, cf17j224, cf18k224, cf19l224","1","How much do you know about: what grades your child gets in school","c(nothing = 1, little = 2, `a lot` = 3, everything = 4, `not applicable` = 5)"
"263","225","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a225, cf09b225, cf10c225, cf11d225, cf12e225, cf13f225, cf14g225","1","Behavior of your child over the past three months: your child is too quarrelsome","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"264","226","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a226, cf09b226, cf10c226, cf11d226, cf12e226, cf13f226, cf14g226","1","Behavior of your child over the past three months: your child has trouble concentrating, cannot keep his/her attention focused on something for long","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"265","227","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a227, cf09b227, cf10c227, cf11d227, cf12e227, cf13f227, cf14g227","1","Behavior of your child over the past three months: your child is easily confused, seems to have trouble understanding things","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"266","228","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a228, cf09b228, cf10c228, cf11d228, cf12e228, cf13f228, cf14g228","1","Behavior of your child over the past three months: your child has trouble relating to other children","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"267","229","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a229, cf09b229, cf10c229, cf11d229, cf12e229, cf13f229, cf14g229","1","Behavior of your child over the past three months: your child feels worthless or inferior","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"268","230","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a230, cf09b230, cf10c230, cf11d230, cf12e230, cf13f230, cf14g230","1","Behavior of your child over the past three months: your child is not liked by other children","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"269","231","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a231, cf09b231, cf10c231, cf11d231, cf12e231, cf13f231, cf14g231","1","Behavior of your child over the past three months: your child is headstrong, sullen or irritable","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"270","232","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a232, cf09b232, cf10c232, cf11d232, cf12e232, cf13f232, cf14g232","1","Behavior of your child over the past three months: your child is unhappy, sad or depressed","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"271","233","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a233, cf09b233, cf10c233, cf11d233, cf12e233, cf13f233, cf14g233","1","Behavior of your child over the past three months: your child clings to adults","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"272","234","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a234, cf09b234, cf10c234, cf11d234, cf12e234, cf13f234, cf14g234","1","Behavior of your child over the past three months: your child is too dependent on others","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"273","235","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a235, cf09b235, cf10c235, cf11d235, cf12e235, cf13f235, cf14g235","1","Behavior of your child over the past three months: your child is disobedient in school","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"274","236","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a236, cf09b236, cf10c236, cf11d236, cf12e236, cf13f236, cf14g236","1","Behavior of your child over the past three months: your child has trouble relating to teachers","c(`often true` = 1, `sometimes true` = 2, `not true` = 3)"
"275","237","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a237, cf09b237, cf10c237, cf11d237, cf12e237, cf13f237, cf14g237","1","If you would like to explain your answers concerning your child's behavior, please use the space below.","NULL"
"276","238","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a238, cf09b238, cf10c238, cf11d238, cf12e238, cf13f238, cf14g238, cf15h238, cf16i238, cf17j238, cf18k238, cf19l238","12","For your living-at-home children born from 2004 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2005 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2006 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2007 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2008 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2009 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2010 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2011 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2012 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2013 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2014 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school // For your living-at-home children born from 2015 onwards, do you make regular use, that is at least once a week, of the following childcare options? - toddler playgroup, nursery school","c(no = 0, yes = 1)"
"277","239","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a239, cf09b239, cf10c239, cf11d239, cf12e239, cf13f239, cf14g239, cf15h239, cf16i239, cf17j239, cf18k239, cf19l239","12","For your living-at-home children born from 2004 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2005 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2006 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2007 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2008 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2009 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2010 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2011 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2012 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2013 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2014 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare) // For your living-at-home children born from 2015 onwards, do you make regular use, that is at least once a week, of the following childcare options? - child daycare center ('kindergarten' â€“ also half-day childcare)","c(no = 0, yes = 1)"
"278","240","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a240, cf09b240, cf10c240, cf11d240, cf12e240, cf13f240, cf14g240, cf15h240, cf16i240, cf17j240, cf18k240, cf19l240","12","For your living-at-home children born from 2004 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2005 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2006 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2007 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2008 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2009 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2010 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2011 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2012 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2013 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2014 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare // For your living-at-home children born from 2015 onwards, do you make regular use, that is at least once a week, of the following childcare options? - pre-school childcare","c(no = 0, yes = 1)"
"279","241","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a241, cf09b241, cf10c241, cf11d241, cf12e241, cf13f241, cf14g241, cf15h241, cf16i241, cf17j241, cf18k241, cf19l241","12","For your living-at-home children born from 2004 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2005 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2006 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2007 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2008 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2009 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2010 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2011 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2012 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2013 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2014 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare // For your living-at-home children born from 2015 onwards, do you make regular use, that is at least once a week, of the following childcare options? - after-school childcare","c(no = 0, yes = 1)"
"280","242","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a242, cf09b242, cf10c242, cf11d242, cf12e242, cf13f242, cf14g242, cf15h242, cf16i242, cf17j242, cf18k242, cf19l242","12","For your living-at-home children born from 2004 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2005 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2006 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2007 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2008 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2009 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2010 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2011 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2012 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2013 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2014 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency) // For your living-at-home children born from 2015 onwards, do you make regular use, that is at least once a week, of the following childcare options? - host parent where the child goes to (arranged through a host parent agency)","c(no = 0, yes = 1)"
